iter	Passed	Remaining
960	43422	1762
961	43471	1717
962	43525	1672
963	43634	1629
964	43684	1584
965	43735	1539
966	43785	1494
967	43846	1449
968	43896	1404
969	43948	1359
970	43996	1313
971	44047	1268
972	44092	1223
973	44147	1178
974	44196	1133
975	44247	1088
976	44299	1042
977	44357	997
978	44408	952
979	44459	907
980	44508	862
981	44562	816
982	44610	771
983	44725	727
984	44777	681
985	44823	636
986	44876	591
987	44927	545
988	44976	500
989	45024	454
990	45075	409
991	45127	363
992	45177	318
993	45231	273
994	45280	227
995	45327	182
996	45379	136
997	45433	91
998	45483	45
999	45536	0
